symbol,total_insertions
ʌ,750
ɪ,707
l,486
n,466
ɹ,458
d,411
ʃ,286
ɹ̩,255
ʊ,197
s,196
t,180
m,179
u,168
z,165
k,93
i,83
ɛ,81
ʔ,81
ʒ,78
h,73
v,72
ŋ,40
p,39
f,39
o,37
ð,36
e,33
j,28
ɾ,26
b,25
θ,23
ɡ,22
n̩,14
l̩,13
ɑ,11
w,11
ɾ̃,9
æ,8
ɔ,6
a,6
