symbol,total_insertions
n,967
ɪ,948
l,823
t,821
ə,581
d,570
ɹ,559
ʊ,438
z,269
ɑː,248
s,203
ɐ,201
m,192
k,163
uː,152
ʌ,152
ə˞,137
v,117
ð,116
iː,111
h,110
æ,89
o,57
e,51
i,48
p,42
ɡ,36
j,35
ɾ,31
b,30
a,26
ʃ,26
ʒ,25
ɛ,25
ŋ,25
f,22
oː,22
w,20
θ,8
ɲ,6
r,1
x,1
ɔ,1
eː,1
aː,1
