symbol,total_insertions
ɹ,1548
d,1201
l,1189
ə,1188
n,913
t,886
ɪ,428
j,411
ʔ,395
z,324
k,260
ɹ̩,255
w,224
m,215
s,207
h,188
æ,165
u,154
ð,137
ʌ,134
v,128
i,91
ɑ,44
ɛ,43
ɔ,42
ŋ,35
t͡ʃ,34
b,32
p,31
d͡ʒ,29
ɡ,28
f,24
o,21
ʊ,20
θ,19
a,14
e,7
ʃ,2
