symbol,total_deletions
ʔ,2352
ɨ,890
ɪ,722
ʃ,621
ʒ,612
ʊ,440
t,250
ɹ,168
ə,167
ɛ,153
ə˞,111
ʌ,106
h,86
e,85
ɜ˞,79
ɔ,77
ɑ,74
ʉ,66
d,63
i,52
s,43
ə̥,43
ɾ,42
n,33
ɦ,32
ɾ̃,30
w,29
ŋ,29
a,27
l̩,25
n̩,24
j,23
ɡ,19
v,18
k,18
l,17
θ,12
z,12
f,11
p,10
æ,10
u,7
ð,6
o,6
m,6
H,4
m̩,3
b,2
