symbol,total_deletions
ɹ,1851
ʔ,1718
ʊ,726
ɨ,710
ɔ,698
ɪ,640
ə˞,639
t,336
ə,325
ɑ,296
ɜ˞,281
i,191
n,164
ɛ,158
l,132
ɾ̃,104
ʌ,90
d,90
o,80
h,78
s,74
ŋ,59
k,54
e,53
ɦ,50
ʉ,46
l̩,42
ʃ,38
ʒ,36
p,34
æ,30
w,30
a,27
ɾ,22
n̩,21
j,20
ɡ,19
ə̥,17
z,15
v,13
u,12
f,12
m,11
θ,10
H,10
b,9
ð,6
m̩,3
