symbol,total_deletions
ʔ,2860
ɨ,527
t,504
ɪ,420
ə,309
k,192
n,168
d,115
ʊ,85
h,81
ɹ,77
ɑ,64
ə˞,59
ɜ˞,57
ɛ,56
l,52
w,37
ə̥,36
ɔ,33
j,31
ɦ,28
æ,25
z,20
ɡ,19
n̩,19
p,17
ʌ,16
ʉ,16
ŋ,16
ɾ̃,14
v,14
s,13
e,12
m,11
a,10
H,10
ʒ,9
ð,8
o,8
b,8
ʃ,7
θ,6
m̩,5
ɾ,5
i,5
f,4
l̩,4
u,1
