symbol,total_deletions
ʔ,190
t,166
ɪ,123
ɨ,118
ə,117
l,87
ɹ,81
d,74
ə˞,56
h,52
ʊ,45
n,41
ə̥,38
j,35
k,27
s,22
ɜ˞,19
ð,19
z,16
ɛ,15
ɡ,15
w,14
ɦ,12
v,12
n̩,9
H,9
ʃ,8
m,8
ʌ,7
b,6
e,6
θ,6
l̩,5
ɑ,5
o,5
ʒ,4
æ,4
ɔ,4
m̩,3
ʉ,2
i,2
ɾ̃,2
p,2
ɾ,1
u,1
ŋ,1
a,1
