symbol,total_insertions
ɹ,1542
l,1191
ə,1188
d,1174
n,910
t,887
ɪ,431
j,411
ʔ,394
z,317
ɹ̩,261
k,258
w,225
m,216
s,207
h,187
æ,158
u,155
ʌ,135
ð,134
v,131
i,94
ɔ,45
ɛ,44
ɑ,43
ŋ,34
t͡ʃ,34
p,33
b,29
d͡ʒ,28
ɡ,27
f,21
ʊ,20
o,17
θ,17
a,13
e,8
ʃ,3
