symbol,total_deletions
ɨ,238
t,163
ʔ,132
ə,101
l,76
ɹ,67
ɪ,64
d,51
ə˞,48
ʊ,41
ə̥,39
h,38
k,33
j,24
ɾ̃,23
ɦ,21
s,20
ɛ,20
e,15
ɜ˞,14
z,14
v,13
ɡ,12
w,11
ð,9
ʉ,8
ʒ,7
θ,6
H,6
ʃ,6
n,6
ʌ,6
o,6
æ,4
l̩,4
n̩,4
i,3
ŋ,2
ɑ,2
m,2
m̩,2
b,1
ɔ,1
p,1
