symbol,total_deletions
ʔ,2758
ɪ,729
ɨ,699
t,630
ə,414
n,246
d,199
l,165
ʊ,152
ɹ,137
ə˞,124
h,107
k,103
ɑ,92
ɜ˞,90
ɛ,78
ɔ,68
z,67
æ,60
p,53
ə̥,51
v,48
ɦ,41
e,40
w,38
s,36
j,35
ʌ,34
ŋ,33
ʉ,32
o,29
b,27
ɡ,27
ɾ̃,24
i,22
ʒ,22
m,21
a,20
ʃ,18
ð,17
l̩,14
f,12
n̩,11
θ,10
H,10
ɾ,10
u,5
m̩,4
ŋ̍,1
