symbol,total_deletions
ʔ,2358
ɨ,888
ɪ,716
ʃ,625
ʒ,609
ʊ,438
t,243
ə,166
ɹ,165
ɛ,158
ə˞,114
ʌ,106
h,92
e,85
ɜ˞,78
ɑ,76
ɔ,72
ʉ,65
d,59
i,47
ɾ,43
ɦ,42
ə̥,42
s,40
n,33
ɾ̃,31
ŋ,30
w,29
a,26
l̩,26
n̩,23
j,23
v,20
ɡ,18
k,18
l,16
z,11
p,10
f,10
θ,10
æ,9
u,7
o,6
H,5
ð,4
m,4
b,2
m̩,2
