symbol,total_insertions
ɪ,991
ʌ,888
n,548
ɹ,541
l,466
d,426
ʃ,384
ʊ,382
ɹ̩,291
t,220
s,214
m,192
k,179
ʔ,174
u,160
ɛ,150
z,142
i,138
h,87
ʒ,80
e,72
v,61
o,59
ŋ,54
ð,49
n̩,48
a,45
p,40
j,39
ɾ,39
b,37
w,32
l̩,30
f,29
ɑ,28
θ,27
æ,22
ɡ,20
ɾ̃,18
ɔ,13
