symbol,total_deletions
ʔ,2833
ɨ,669
t,596
ə,392
n,382
ɪ,360
ɹ,211
d,202
ʊ,183
l,156
ə˞,134
k,97
ɛ,81
h,80
ə̥,79
ɜ˞,78
ɑ,67
ɔ,56
e,52
æ,50
w,45
ɦ,44
z,37
j,37
v,34
m,34
s,32
a,31
ʉ,30
o,30
p,29
i,29
ɡ,26
b,25
ʌ,25
ɾ̃,24
ʃ,22
ð,20
ŋ,17
ʒ,15
ɾ,13
H,12
f,11
n̩,10
u,9
θ,9
l̩,9
