symbol,total_deletions
ʔ,5582
ɨ,1418
t,1198
ə,804
n,692
ɪ,646
l,630
d,544
ɹ,426
ʊ,382
ɔ,268
ə˞,236
ɛ,180
h,164
k,158
ə̥,158
ɜ˞,142
ɑ,130
w,116
ɦ,98
e,96
z,94
v,80
s,76
m,72
æ,70
j,70
p,60
ŋ,56
ɾ̃,54
b,46
ɾ,46
i,44
ʒ,44
ɡ,44
ʉ,44
ʌ,42
o,40
ð,40
a,40
ʃ,36
f,34
n̩,26
H,24
l̩,20
θ,20
u,8
ŋ̍,4
