symbol,total_deletions
ɪ,2856
ɨ,1904
ʊ,1552
ʔ,1551
ɹ,1493
t,1493
l,1241
ə,1212
ə˞,1087
æ,784
d,558
ʒ,503
ɔ,500
ʃ,454
k,419
ɜ˞,410
ð,409
ʌ,346
s,345
ɾ,290
ɑ,288
z,250
ʉ,232
ŋ,216
n,209
ɛ,208
i,171
p,164
ə̥,153
o,150
n̩,148
l̩,127
e,120
ɾ̃,114
w,107
a,103
m,99
h,93
ɡ,92
v,82
j,78
b,77
ɦ,71
H,50
θ,37
f,27
u,26
m̩,10
ŋ̍,10
̩,3
