symbol,total_deletions
ʔ,2781
ɨ,720
ɪ,630
t,441
ə,430
ʊ,265
n,181
d,180
l,159
ɹ,135
ə˞,128
ə̥,121
h,91
ɔ,85
ɛ,75
ɜ˞,71
ɑ,67
k,57
ɦ,46
w,45
æ,41
i,40
e,36
v,33
j,32
a,31
z,31
p,29
ŋ,28
ʉ,25
ɡ,25
b,23
m,22
ɾ̃,21
s,21
ʌ,20
ʃ,17
ʒ,16
l̩,14
ð,13
ɾ,13
o,12
n̩,10
f,10
θ,9
H,8
u,6
m̩,2
