symbol,total_insertions
ʔ,513
ɨ,260
t,253
ɹ,217
n,200
l,187
ɚ,175
ɪ,174
d,171
ə,160
k,151
j,105
ʊ,98
ð,82
ə̥,70
m,68
v,44
ɾ,41
i,38
h,37
ŋ,32
ɝ,31
o,28
w,27
ɛ,21
ɦ,20
X,18
e,15
z,15
ʌ,15
s,14
ʒ,14
ʉ,14
ʃ,14
f,13
ɾ̃,12
b,10
H,10
θ,9
l̩,9
æ,8
n̩,8
p,7
ɔ,6
ɡ,6
ɑ,5
u,4
a,3
m̩,1
