symbol,total_insertions
ʌ,880
ɪ,860
ʊ,478
ɹ,444
n,389
ʃ,358
l,326
ɹ̩,284
d,248
s,234
t,202
k,187
z,179
m,162
u,161
i,138
ɛ,131
ʒ,130
e,95
ʔ,88
h,72
v,53
o,52
p,49
b,46
ð,42
j,39
ŋ,39
ɾ,37
f,33
w,29
ɑ,24
θ,21
æ,20
a,20
ɡ,19
l̩,14
n̩,13
ɾ̃,12
ɔ,9
m̩,4
æ̃,1
ɪ̃,1
