symbol,total_deletions
ʔ,1502
ɔ,653
ɨ,637
ɪ,449
ə˞,316
ə,298
t,263
ɑ,238
ɹ,193
i,192
ɜ˞,190
k,141
ɛ,140
l,90
ʊ,84
e,76
ʌ,72
h,71
ʉ,61
d,50
n,46
ŋ,46
s,42
l̩,42
j,36
ʒ,32
ɦ,32
w,28
ɾ̃,25
n̩,22
ʃ,21
ɡ,21
ə̥,20
u,20
ɾ,20
æ,16
p,11
o,10
a,9
θ,8
v,8
H,7
ð,7
b,6
f,6
z,5
m,4
m̩,2
