symbol,total_insertions
ɪ,825
ʌ,682
ɹ,539
d,453
l,441
n,384
t,342
ʃ,327
ʊ,321
k,255
s,243
ɹ̩,237
z,179
ɛ,169
u,156
m,146
e,111
ʔ,86
i,81
ʒ,80
v,70
h,68
ɾ,54
ð,45
ɑ,39
f,36
p,36
j,34
b,34
ŋ,33
w,31
o,26
θ,23
ɡ,23
a,20
æ,18
n̩,15
ɾ̃,10
l̩,9
ɔ,4
m̩,2
æ̃,1
