symbol,total_insertions
ɪ,908
ʌ,635
ʊ,457
l,414
ɹ,411
ʃ,406
n,392
d,319
s,271
ɹ̩,239
t,226
k,182
m,172
u,141
ɛ,137
z,132
ʒ,121
i,112
h,86
ʔ,78
e,72
o,62
v,55
ð,47
b,46
ŋ,45
p,42
f,39
a,37
ɾ,32
j,32
ɡ,25
w,24
θ,22
ɑ,21
n̩,20
æ,13
l̩,12
ɾ̃,9
ɔ,8
m̩,8
ʊ̃,2
õ,1
æ̃,1
