symbol,total_deletions
ʔ,2802
ɨ,663
t,612
ə,383
ɪ,360
n,326
d,236
l,230
ʊ,182
ɹ,159
k,106
ə˞,98
ə̥,83
h,82
ɔ,77
ɛ,73
ɜ˞,65
ɑ,65
ɦ,60
æ,46
z,40
w,39
j,31
e,31
a,30
m,30
v,29
ʌ,25
s,25
p,24
ɾ̃,23
ʃ,22
i,21
ʉ,20
ɡ,19
ʒ,18
b,17
o,17
ŋ,17
l̩,17
ɾ,15
ð,13
H,12
n̩,11
f,10
θ,6
u,4
