symbol,total_insertions
l,1296
ɹ,1175
d,1074
n,932
t,826
ɪ,798
ə,626
ɑː,318
ɐ,284
z,255
ʊ,225
uː,196
m,189
ᵻ,179
ʌ,167
h,136
ð,122
s,121
v,114
iː,103
æ,100
ə˞,98
ɔː,94
k,91
ɛ,78
o,72
i,58
ʒ,47
ŋ,38
ɾ,35
e,33
ɡ,29
p,27
b,27
ʃ,21
j,21
a,18
w,16
ɜː,14
f,12
oː,9
θ,7
ɔ,4
ɲ,3
ɨ,2
ʎ,2
yː,1
ɟ,1
aː,1
r,1
