symbol,total_insertions
ɹ,1333
l,1062
ə,987
t,916
n,864
d,713
j,521
ɪ,379
w,289
i,271
ɹ̩,239
z,228
k,201
h,179
m,138
ʌ,131
ð,122
v,118
u,111
æ,110
s,108
e,80
ɛ,69
a,58
o,57
ɔ,47
ŋ,33
d͡ʒ,30
t͡ʃ,29
ɑ,28
ʊ,27
f,19
b,19
ɡ,15
θ,13
p,11
ʃ,1
