symbol,total_insertions
ɪ,2046
ʌ,1408
ʊ,900
ɹ,796
n,764
ʃ,752
l,644
ɹ̩,556
s,432
k,414
t,382
d,352
ʒ,334
u,332
m,308
z,292
i,244
ʔ,178
ɛ,162
e,152
h,150
o,120
v,100
p,96
a,86
ð,70
b,68
θ,66
j,64
ŋ,56
f,54
ɾ,50
ɑ,48
ɡ,44
n̩,36
w,34
l̩,30
ɔ,22
ɾ̃,20
æ,20
æ̃,8
m̩,4
ɪ̃,2
