symbol,total_deletions
ʔ,2298
ɨ,1085
ɪ,895
ʒ,625
ʃ,613
ʊ,495
t,353
ə,262
ɹ,235
ə˞,205
ɛ,183
d,158
l,148
ɔ,144
ʌ,123
ɜ˞,123
h,116
e,104
ɑ,101
s,97
ɾ,88
i,88
ʉ,81
ə̥,72
ŋ,68
n,59
ɦ,57
k,52
ɾ̃,49
m,48
w,48
v,48
j,43
ð,43
l̩,42
z,41
æ,41
b,39
ɡ,35
a,32
f,32
θ,31
p,29
u,25
n̩,24
o,24
H,11
m̩,5
ŋ̍,1
