symbol,total_insertions
ɪ,636
ʔ,497
n,280
t,237
ə,197
ɝ,195
ɹ,180
d,165
l,164
k,162
i,114
u,85
ʊ,83
ð,71
m,71
h,69
v,39
ɾ,38
ŋ,34
w,28
o,27
ɛ,27
z,27
ʃ,21
s,21
ʌ,20
j,19
e,18
X,15
ʒ,13
f,11
b,10
l̩,10
ɡ,8
p,8
æ,8
H,8
θ,7
ɑ,6
ɔ,5
a,3
