model,phone_error_rates,phone_feature_error_rates,feature_error_rates
allosaurus_eng2102_eng,0.3759916977105693,3.85058201058201,0.20946171408506062
ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.23444788470443706,2.4004960317460315,0.175184492673318
ginic/full_dataset_train_1_wav2vec2-large-xlsr-53-buckeye-ipa,0.25855422351501295,2.685529100529101,0.18207558060088108
ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6297677361575206,6.179054232804233,0.2832181450862749
openai_whisper-large-v3-turbo_to_epitran,0.3609625454473462,3.7978174603174604,0.21079882841167244
openai_whisper-medium.en_to_epitran,0.36145583300645334,3.7990410052910053,0.21038589635606145
excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k,0.11066279085165202,1.9622354497354495,0.18240797751854498
excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_simplified,0.1713057840699557,2.1388293650793653,0.1925878603398346
