dialect,model,phone_error_rates,phone_feature_error_rates,feature_error_rates
DR1,allosaurus_eng2102_eng,0.3867812048884333,3.9464285714285716,0.21493595936692328
DR2,allosaurus_eng2102_eng,0.3669658403470247,3.740073529411765,0.20823055602449456
DR3,allosaurus_eng2102_eng,0.36875505725154756,3.699142156862745,0.2080462437363933
DR4,allosaurus_eng2102_eng,0.3813538708390796,3.938125,0.21088815256629972
DR5,allosaurus_eng2102_eng,0.3858965131448101,4.060161564625851,0.21136791559883955
DR6,allosaurus_eng2102_eng,0.3749452482676399,3.799547101449275,0.20466077753044543
DR7,allosaurus_eng2102_eng,0.37233938148221274,3.8084166666666666,0.20947926858082422
DR8,allosaurus_eng2102_eng,0.37709981886178745,3.8291666666666666,0.20616941452118875
DR1,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.235076724256683,2.3664965986394555,0.17567524584305283
DR2,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.2284845585685953,2.3468954248366014,0.1756475749976459
DR3,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.22801001225511922,2.232230392156863,0.16572307737079633
DR4,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.24428827216128685,2.498541666666667,0.17917299295514916
DR5,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.24205020935372776,2.569302721088435,0.17884370742087036
DR6,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.23296093106719565,2.4413043478260867,0.1790055457931707
DR7,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.2323779352445468,2.394,0.175447408394955
DR8,ginic/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_buckeye-4k_bs32_3,0.22779447166240294,2.3011363636363638,0.17319267356236606
DR1,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.2607796639356507,2.6668367346938777,0.1815739659075079
DR2,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.24807210108774272,2.621691176470588,0.18461311226478383
DR3,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.24723608391216323,2.480759803921569,0.17578694391513933
DR4,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.2729561131356141,2.882958333333333,0.18865391810953164
DR5,ginic/full_dataset_train_5_wav2vec2-large-xlsr-53-buckeye-ipa,0.27089253802423413,2.9249574829931975,0.182743090309819
