dialect,model,phone_error_rates,phone_feature_error_rates,feature_error_rates
DR1,facebook/wav2vec2-lv-60-espeak-cv-ft,0.36780854618087594,4.312925170068027,0.6613211203932019
DR2,facebook/wav2vec2-lv-60-espeak-cv-ft,0.3591443411254711,4.4092320261437905,0.6692538329923331
DR3,facebook/wav2vec2-lv-60-espeak-cv-ft,0.35393650916625763,4.292156862745098,0.6689034544396972
DR4,facebook/wav2vec2-lv-60-espeak-cv-ft,0.3701163223076524,4.446708333333333,0.6672975326322317
DR5,facebook/wav2vec2-lv-60-espeak-cv-ft,0.36798122770658775,4.38796768707483,0.6612105598710133
DR6,facebook/wav2vec2-lv-60-espeak-cv-ft,0.3580595228828598,4.261322463768116,0.6615642792464959
DR7,facebook/wav2vec2-lv-60-espeak-cv-ft,0.36287993857411016,4.388333333333334,0.6672985428211178
DR8,facebook/wav2vec2-lv-60-espeak-cv-ft,0.3657245139228729,4.523106060606061,0.6785767132320772
DR1,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.3741267100816058,4.137074829931973,0.6462424812442882
DR2,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.3710047143631182,4.308088235294117,0.6546781224403201
DR3,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.36423989933850653,4.189174836601308,0.6541383246864279
DR4,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.37818228660584574,4.288541666666667,0.6518698680848992
DR5,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.37885102079919347,4.307695578231292,0.6470955052531819
DR6,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.3689451469235772,4.1869565217391305,0.6490339346656766
DR7,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.3718112215153551,4.23,0.6515022964783288
DR8,facebook/wav2vec2-xlsr-53-espeak-cv-ft,0.3711929540093555,4.33080808080808,0.659208738215318
