symbol,total_deletions
ʊ,1901
ɹ,1666
ʌ,1501
ɪ,1163
ʔ,758
t,693
ɛ,387
l,367
o,340
m,326
n,320
i,309
s,307
j,306
d,257
m̩,220
ʃ,209
æ,208
e,192
ɾ̃,181
a,176
u,169
ɑ,161
ɹ̩,161
h,137
w,130
n̩,127
ʒ,125
v,116
ɾ,111
z,110
ɔ,95
ð,91
ŋ,78
θ,72
k,70
l̩,61
b,59
p,51
ʊ̃,49
f,44
ɡ,25
õ,14
ʌ̃,8
ɪ̃,8
ɛ̃,6
æ̃,2
ã,2
E,1
ĩ,1
β,1
