symbol,total_insertions
ɪ,1282
ʌ,791
n,695
t,536
ʊ,431
l,380
ɹ,362
ð,353
ɛ,329
d,327
s,300
ʔ,280
m,263
ɾ,258
i,234
v,209
w,197
k,186
z,166
ɾ̃,153
j,152
e,144
h,143
b,142
ʃ,131
ŋ,129
ɹ̩,127
a,126
n̩,113
æ,111
ɡ,95
o,92
f,86
u,84
p,82
ʒ,77
ɑ,76
θ,75
ɔ,47
l̩,38
m̩,1
