symbol,total_insertions
ɪ,1305
ʌ,735
n,721
t,560
ʊ,417
l,387
ɹ,363
ɛ,348
d,323
ð,307
s,293
m,289
ʔ,276
ɾ,231
v,221
i,217
w,194
k,177
ɾ̃,168
z,165
h,159
e,141
b,140
a,130
n̩,129
ŋ,128
j,127
ʃ,127
ɹ̩,123
æ,117
p,96
ɑ,94
o,90
f,84
θ,84
ɡ,78
u,78
ʒ,63
ɔ,48
l̩,33
m̩,2
