symbol,total_deletions
ɪ,1204
ʌ,1038
ʊ,782
t,664
ɹ,651
n,629
d,368
l,343
m,328
ɛ,323
m̩,308
ʔ,303
s,289
h,235
i,201
o,192
j,186
e,171
a,171
æ,166
ð,163
w,151
v,151
ɾ̃,145
z,133
u,115
ʃ,114
k,104
n̩,102
ɾ,101
ɑ,91
ŋ,88
ɹ̩,85
ʒ,77
b,64
f,57
p,46
ɔ,43
θ,39
ɡ,33
l̩,27
ʌ̃,17
ʊ̃,17
ɪ̃,12
õ,10
ɛ̃,7
ĩ,3
æ̃,3
ẽ,3
E,1
ã,1
A,1
U,1
H,1
β,1
