symbol,total_deletions
ɪ,1099
ʌ,909
ʊ,777
t,645
ɹ,608
n,592
d,414
ʔ,307
s,278
l,274
m,268
ɛ,256
i,174
e,173
ð,170
m̩,170
v,157
ʃ,155
j,152
h,152
a,148
o,143
ɾ̃,137
w,134
æ,120
k,111
z,110
n̩,105
ʒ,102
ɑ,96
ɾ,95
u,88
ŋ,81
ɹ̩,75
b,74
f,52
θ,43
p,42
ɔ,41
ɡ,35
l̩,25
ʊ̃,13
ɪ̃,10
ʌ̃,9
õ,6
ɛ̃,4
ĩ,4
æ̃,3
β,2
I,1
E,1
ẽ,1
ã,1
A,1
U,1
H,1
