symbol,total_insertions
ɪ,1885
n,1594
t,1329
ə,1328
d,785
l,690
s,679
a,519
ɛ,486
m,459
ð,445
ɹ,377
k,369
ʌ,366
z,358
ə˞,358
v,333
ʊ,322
æ,310
ɑː,306
h,292
iː,288
b,235
w,232
e,220
i,218
ɐ,204
p,184
ɾ,170
ŋ,152
f,144
ɡ,138
uː,132
oː,118
j,112
ɔ,94
ʃ,92
o,77
θ,71
ʒ,68
x,66
eː,56
aː,40
r,27
ɲ,16
y,13
ɑ,13
ø,4
ɜ,3
u,3
yː,1
ʉ,1
ɨ,1
