symbol,total_insertions
ɪ,1269
n,858
ʌ,797
t,649
ʊ,516
d,482
ʔ,468
ð,411
l,408
ɹ,404
ɛ,351
s,318
m,307
v,294
ɾ,274
i,225
w,218
k,211
z,201
ɾ̃,181
ʃ,171
b,155
a,155
h,154
j,152
ɹ̩,148
æ,132
e,125
o,121
ŋ,120
n̩,111
ɑ,110
p,108
f,106
ʒ,102
θ,102
ɡ,94
u,87
ɔ,56
l̩,36
m̩,12
