symbol,total_deletions
ʌ,1429
ɪ,1369
ɹ,750
ʊ,637
n,623
t,603
ʔ,436
l,404
s,380
ɛ,362
d,308
m,254
h,227
i,222
ʃ,185
o,180
ɹ̩,178
j,175
m̩,170
æ,157
u,145
ð,140
a,137
v,137
z,126
w,125
e,115
n̩,112
ɾ̃,109
k,108
ʒ,86
ɑ,82
ŋ,70
ɾ,64
b,62
f,57
p,51
ɔ,36
l̩,35
θ,30
ɡ,28
ʊ̃,13
ʌ̃,11
õ,5
ɪ̃,5
ɛ̃,5
ã,2
E,1
ɑ̃,1
ĩ,1
β,1
