symbol,total_deletions
ʌ,1478
ɪ,932
ɹ,797
ʊ,660
t,592
n,417
ʔ,399
l,385
d,368
ɛ,361
s,352
j,280
e,243
m,222
ʃ,211
a,209
o,194
i,191
m̩,189
ɹ̩,177
h,166
ɾ̃,155
n̩,154
ʒ,148
ð,139
w,133
v,130
æ,125
z,123
k,109
ɑ,81
ŋ,80
u,78
ɾ,70
b,55
f,54
p,46
θ,37
ɔ,35
ɡ,35
l̩,27
ʊ̃,21
ʌ̃,7
ɪ̃,6
õ,5
ɛ̃,5
ĩ,2
ã,2
I,1
E,1
ẽ,1
A,1
U,1
H,1
β,1
