symbol,total_insertions
t,2656
ə,2309
d,1846
n,1527
j,1264
l,1025
ɹ,1024
w,961
ɪ,783
ð,684
v,646
æ,635
z,443
h,412
m,395
s,376
b,369
a,345
ɛ,343
ŋ,338
i,334
k,330
ɑ,323
ɹ̩,311
ʌ,255
θ,235
u,220
ʔ,209
ɔ,198
o,195
e,167
p,117
ɡ,114
f,92
d͡ʒ,77
t͡ʃ,56
ʊ,33
ʃ,24
ʒ,1
