symbol,total_insertions
ɪ,2563
ʔ,2255
n,1160
ə,1040
t,968
ʊ,623
h,499
ɜ˞,463
ð,443
d,417
l,389
s,376
ɑ,375
a,359
m,346
z,336
ʌ,333
ɛ,331
ɾ,296
v,286
w,284
i,278
k,263
æ,256
e,230
ɹ,227
b,222
p,184
o,180
ŋ,162
j,158
u,154
θ,132
ɡ,130
ɔ,126
f,97
ʃ,96
H,73
ʒ,65
l̩,65
X,17
C,1
