symbol,total_insertions
ɪ,1148
n,732
ʌ,669
t,514
ʊ,500
d,378
l,365
ɹ,340
ð,338
ɛ,309
ʔ,302
s,299
i,225
m,220
v,207
ɾ,201
k,188
h,177
w,171
ʃ,161
z,154
j,140
ɾ̃,138
e,137
b,136
n̩,131
a,126
ɹ̩,117
æ,113
ŋ,110
ʒ,104
o,95
f,89
p,88
ɑ,87
θ,84
u,82
ɡ,76
l̩,41
ɔ,40
m̩,2
