symbol,total_deletions
ɪ,1127
ʌ,821
ɹ,573
ʊ,561
t,540
n,472
d,334
s,244
ɛ,243
m,243
l,237
ʔ,223
h,204
i,147
e,142
m̩,129
ð,129
a,127
n̩,116
j,116
v,114
ʃ,105
o,98
w,97
æ,93
z,91
ɾ̃,90
ʒ,89
u,82
k,81
ɾ,75
ɹ̩,65
ŋ,62
ɑ,57
b,53
f,42
θ,32
p,31
ɔ,30
ɡ,28
l̩,23
ʊ̃,11
ʌ̃,10
ɪ̃,8
ɛ̃,8
õ,4
β,2
æ̃,2
I,1
ẽ,1
E,1
ã,1
ĩ,1
