symbol,total_insertions
ɪ,1465
ʌ,724
n,659
ʊ,544
t,511
ʔ,383
ɹ,376
ð,359
l,354
d,344
ɛ,313
s,302
m,276
ɾ,257
i,249
v,220
ɾ̃,203
w,187
k,184
a,183
z,170
ɹ̩,168
e,164
h,158
b,152
æ,148
n̩,138
j,137
ʃ,133
ŋ,128
o,122
ɑ,97
ɡ,92
p,91
ʒ,88
θ,87
f,87
u,80
ɔ,49
l̩,46
