symbol,total_deletions
ʌ,1826
ɪ,1587
ʊ,834
n,633
ʃ,625
ɛ,494
ʒ,448
i,447
ɹ,430
m,428
a,412
s,402
o,391
t,370
j,353
ɾ̃,275
d,253
ð,226
l,193
ʔ,191
k,189
e,185
w,163
z,140
u,131
n̩,127
f,126
ɾ,124
ɑ,123
ɹ̩,123
v,111
h,109
æ,102
b,78
θ,76
m̩,54
ɔ,46
p,46
ɡ,37
ŋ,28
l̩,24
ʊ̃,22
õ,15
ɪ̃,11
ʌ̃,7
æ̃,6
ĩ,5
ɛ̃,4
ã,3
ẽ,3
H,1
β,1
