symbol,total_insertions
t,3163
ə,3050
d,2093
n,1775
j,1604
w,1266
ð,1231
l,1188
ɹ,1183
ɪ,1011
æ,922
v,702
z,690
s,575
a,519
m,511
k,487
h,481
i,467
ɛ,457
b,454
θ,424
ŋ,423
ɑ,389
ɹ̩,382
u,358
ʌ,346
o,322
ʔ,287
ɔ,253
e,253
p,181
ɡ,164
f,129
d͡ʒ,96
t͡ʃ,74
ʊ,50
ʃ,44
ʒ,6
