symbol,total_deletions
ɪ,19592
ʌ,14014
n,9202
s,8223
t,7319
ɛ,6686
i,6618
ɹ,6117
ʊ,5843
l,5304
d,5302
k,5283
a,5048
m,4859
ð,3818
o,3704
z,3526
æ,3222
ɹ̩,3081
e,3021
j,2917
b,2869
ɾ,2808
ɑ,2697
p,2494
u,2324
v,2321
f,2305
ʔ,2294
ɾ̃,2268
h,1984
ʃ,1955
w,1856
ɡ,1846
ɔ,1801
ŋ,1586
θ,1470
n̩,1267
ʒ,1082
l̩,725
m̩,408
ʊ̃,147
õ,124
ɪ̃,111
ʌ̃,89
ɛ̃,68
æ̃,66
ã,38
ĩ,28
ɑ̃,28
ɔ̃,15
β,15
ẽ,13
ũ,1
O,1
I,1
E,1
A,1
U,1
H,1
