symbol,total_insertions
ʔ,2225
ɨ,1522
ɪ,1153
t,906
n,795
ə,742
ʊ,646
ɑ,407
d,388
h,388
a,379
s,372
l,366
ɦ,359
ð,350
ə˞,346
ɛ,345
z,341
m,286
v,284
ʌ,261
i,245
k,244
æ,240
ɹ,236
ɾ,228
w,221
e,215
p,199
ə̥,177
o,171
b,168
ʉ,149
n̩,147
ŋ,145
ɾ̃,138
ɜ˞,136
θ,123
j,118
f,116
ɡ,103
ɔ,97
ʃ,83
ʒ,74
l̩,65
H,47
u,37
X,12
m̩,6
