symbol,total_deletions
ɪ,1121
ʌ,860
ʊ,720
t,658
n,635
ɹ,617
d,383
ʔ,307
m,297
l,277
s,248
ɛ,229
h,220
m̩,199
i,170
e,152
ʃ,148
v,146
a,141
o,139
j,138
ð,137
n̩,133
ɾ̃,131
w,126
k,107
æ,100
z,98
u,96
ŋ,89
ɑ,86
ɾ,85
ʒ,77
b,76
ɹ̩,71
f,54
p,53
θ,44
ɡ,40
ɔ,40
l̩,22
ʊ̃,14
ʌ̃,14
ɪ̃,10
ɛ̃,9
õ,6
ĩ,3
æ̃,2
I,1
E,1
ɑ̃,1
ã,1
A,1
U,1
H,1
β,1
