symbol,total_deletions
ɪ,961
ʌ,908
t,654
n,622
ɹ,620
ʊ,561
d,345
m̩,320
m,305
l,291
ʔ,270
s,262
ɛ,237
h,212
i,178
e,145
v,144
ð,133
j,132
ʃ,128
a,125
z,122
w,111
n̩,110
ɾ̃,108
o,104
k,98
u,96
æ,82
ʒ,80
ɾ,78
ŋ,75
ɑ,71
b,65
f,59
ɹ̩,54
p,51
θ,38
ɔ,36
ɡ,30
l̩,20
ʌ̃,14
ɪ̃,13
ʊ̃,11
õ,5
ɛ̃,4
ĩ,3
æ̃,2
I,1
E,1
ã,1
U,1
A,1
H,1
β,1
