symbol,total_insertions
ɪ,1424
ʌ,738
n,705
ʊ,641
t,538
ɛ,380
ɹ,372
d,371
ð,366
l,351
ʔ,318
s,302
m,285
v,275
ɾ,242
i,220
ɾ̃,197
w,192
z,188
k,180
e,165
a,164
h,157
j,148
ɹ̩,147
o,145
b,144
æ,141
ʃ,137
ŋ,118
n̩,103
ɑ,99
u,90
p,90
ɡ,89
ʒ,87
θ,78
f,72
l̩,55
ɔ,54
